712,136 
695,139 
702,143 
686,139 
698,142 
718,142 
700,142 
702,142 
706,142 
705,136 
699,139 
705,139 
705,139 
704,138 
701,141 
710,142 
714,136 
693,139 
697,137 
703,142 
707,139 
708,138 
704,138 
701,143 
699,138 
709,137 
700,139 
698,140 
708,141 
700,135 
702,141 
707,138 
698,137 
685,138 
705,143 
704,137 
699,144 
702,139 
706,142 
698,142 
707,140 
703,141 
698,141 
692,139 
723,142 
697,142 
696,141 
710,141 
697,139 
711,141 
708,143 
700,139 
704,137 
701,138 
720,141 
699,140 
698,137 
704,141 
705,140 
700,143 
709,139 
695,140 
699,138 
692,140 
713,142 
703,141 
694,136 
712,138 
704,142 
701,138 
698,143 
706,140 
707,134 
701,141 
698,141 
712,139 
698,140 
694,141 
707,137 
706,142 
704,142 
706,143 
705,141 
712,140 
696,141 
699,141 
706,138 
705,137 
710,140 
704,143 
703,139 
704,142 
707,139 
723,142 
706,142 
709,141 
712,140 
705,138 
698,141 
699,138 
702,143 
697,140 
701,140 
703,139 
694,140 
693,138 
693,142 
701,140 
713,140 
701,142 
701,140 
703,140 
698,141 
699,143 
695,142 
700,139 
714,139 
707,133 
699,141 
704,138 
702,142 
711,139 
707,138 
695,144 
699,142 
708,136 
696,136 
694,138 
699,144 
704,137 
698,142 
703,135 
694,137 
703,145 
697,140 
694,143 
705,140 
698,144 
709,140 
712,142 
698,139 
702,139 
704,142 
697,141 
707,142 
704,137 
699,144 
714,142 
692,137 
700,139 
704,140 
702,140 
709,139 
691,142 
704,144 
701,141 
707,136 
707,138 
709,141 
704,138 
702,141 
704,141 
704,139 
714,141 
703,137 
703,140 
695,139 
696,139 
705,138 
699,141 
687,140 
688,141 
697,140 
702,140 
710,141 
703,144 
690,141 
716,142 
711,137 
707,140 
700,138 
693,137 
698,143 
696,136 
695,141 
690,140 
706,139 
705,133 
701,138 
711,138 
707,141 
699,142 
706,137 
706,140 
687,138 
700,139 
705,138 
701,134 
702,139 
691,141 
694,141 
701,141 
709,138 
699,141 
703,139 
691,139 
699,136 
706,141 
705,139 
713,136 
716,141 
706,140 
698,139 
689,140 
707,141 
692,143 
690,135 
701,141 
697,142 
702,142 
698,139 
701,143 
700,141 
709,142 
708,140 
695,139 
699,134 
702,142 
709,140 
705,141 
699,139 
707,143 
705,141 
711,144 
697,139 
711,138 
710,140 
